date,pnl,trades,wins,win_rate,cumulative_pnl
2024-04-22,65.0,7,4,0.5714285714285714,-11667.5
2024-04-23,462.5,5,4,0.8,-11205.0
2024-04-24,-387.5,5,2,0.4,-11592.5
2024-04-25,2302.5,7,5,0.7142857142857143,-9290.0
2024-04-26,-560.0,2,1,0.5,-9850.0
2024-04-29,885.0,3,2,0.6666666666666666,-8965.0
2024-04-30,-1197.5,7,2,0.2857142857142857,-10162.5
2024-05-01,-1275.0,5,2,0.4,-11437.5
2024-05-02,325.0,5,2,0.4,-11112.5
2024-05-03,-935.0,2,0,0.0,-12047.5
2024-05-06,-560.0,7,2,0.2857142857142857,-12607.5
2024-05-07,-192.5,1,0,0.0,-12800.0
2024-05-10,-92.5,1,0,0.0,-12892.5
2024-05-13,77.5,2,1,0.5,-12815.0
2024-05-14,-460.0,7,3,0.42857142857142855,-13275.0
2024-05-15,152.5,2,1,0.5,-13122.5
2024-05-16,412.5,5,4,0.8,-12710.0
2024-05-17,-385.0,2,0,0.0,-13095.0
2024-05-20,142.5,4,3,0.75,-12952.5
2024-05-21,65.0,2,1,0.5,-12887.5
2024-05-22,-712.5,5,1,0.2,-13600.0
2024-05-23,-667.5,1,0,0.0,-14267.5
2024-05-24,107.5,1,1,1.0,-14160.0
2024-05-27,-530.0,6,1,0.16666666666666666,-14690.0
2024-05-31,102.5,2,1,0.5,-14587.5
2024-06-03,-572.5,2,0,0.0,-15160.0
2024-06-04,-440.0,3,2,0.6666666666666666,-15600.0
2024-06-05,-105.0,1,0,0.0,-15705.0
2024-06-06,-157.5,4,2,0.5,-15862.5
2024-06-07,-207.5,4,2,0.5,-16070.0
2024-06-10,-65.0,3,2,0.6666666666666666,-16135.0
2024-06-11,-270.0,4,2,0.5,-16405.0
2024-06-12,-1170.0,4,0,0.0,-17575.0
2024-06-13,-250.0,5,2,0.4,-17825.0
2024-06-14,-340.0,3,2,0.6666666666666666,-18165.0
2024-06-17,-30.0,6,4,0.6666666666666666,-18195.0
2024-06-18,-372.5,2,0,0.0,-18567.5
2024-06-19,-37.5,5,1,0.2,-18605.0
2024-06-20,-342.5,1,0,0.0,-18947.5
2024-06-24,-487.5,5,2,0.4,-19435.0
2024-06-25,340.0,2,2,1.0,-19095.0
2024-06-26,105.0,4,2,0.5,-18990.0
2024-06-27,-160.0,2,0,0.0,-19150.0
2024-06-28,-937.5,5,1,0.2,-20087.5
2024-07-01,392.5,4,3,0.75,-19695.0
2024-07-02,-27.5,8,3,0.375,-19722.5
2024-07-03,455.0,4,4,1.0,-19267.5
2024-07-04,-220.0,4,0,0.0,-19487.5
2024-07-05,370.0,6,5,0.8333333333333334,-19117.5
2024-07-08,122.5,3,2,0.6666666666666666,-18995.0
2024-07-09,-27.5,3,2,0.6666666666666666,-19022.5
2024-07-10,415.0,7,3,0.42857142857142855,-18607.5
2024-07-11,775.0,5,3,0.6,-17832.5
2024-07-12,-105.0,6,2,0.3333333333333333,-17937.5
2024-07-15,-300.0,5,2,0.4,-18237.5
2024-07-16,-310.0,2,1,0.5,-18547.5
2024-07-17,477.5,7,3,0.42857142857142855,-18070.0
2024-07-18,847.5,8,5,0.625,-17222.5
2024-07-19,182.5,6,2,0.3333333333333333,-17040.0
2024-07-22,-525.0,10,4,0.4,-17565.0
2024-07-23,2747.5,8,6,0.75,-14817.5
2024-07-24,712.5,10,6,0.6,-14105.0
2024-07-25,-1190.0,3,0,0.0,-15295.0
2024-07-26,212.5,5,2,0.4,-15082.5
2024-07-29,555.0,4,2,0.5,-14527.5
2024-07-30,4770.0,6,6,1.0,-9757.5
2024-07-31,-732.5,4,1,0.25,-10490.0
2024-08-01,-760.0,2,0,0.0,-11250.0
2024-08-06,-287.5,5,2,0.4,-11537.5
2024-08-07,1212.5,10,6,0.6,-10325.0
2024-08-08,-1410.0,2,0,0.0,-11735.0
2024-08-09,-170.0,4,2,0.5,-11905.0
2024-08-12,-1132.5,4,0,0.0,-13037.5
2024-08-13,12.5,5,3,0.6,-13025.0
2024-08-14,-142.5,6,3,0.5,-13167.5
2024-08-15,-1187.5,5,0,0.0,-14355.0
2024-08-20,107.5,1,1,1.0,-14247.5
2024-08-21,795.0,6,4,0.6666666666666666,-13452.5
2024-08-22,-1010.0,2,0,0.0,-14462.5
2024-08-23,-1685.0,2,0,0.0,-16147.5
2024-08-27,2.5,2,1,0.5,-16145.0
2024-08-28,265.0,7,5,0.7142857142857143,-15880.0
2024-08-29,77.5,7,4,0.5714285714285714,-15802.5
2024-08-30,90.0,2,1,0.5,-15712.5
2024-09-02,1525.0,5,3,0.6,-14187.5
2024-09-03,842.5,9,3,0.3333333333333333,-13345.0
2024-09-04,-187.5,5,2,0.4,-13532.5
2024-09-05,1530.0,9,7,0.7777777777777778,-12002.5
2024-09-06,-1085.0,2,0,0.0,-13087.5
