entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,vol_prob,breakout_prob,predicted_atr,bars_held,exit_reason
2023-08-21 12:10:00+00:00,2023-08-21 12:45:00+00:00,SHORT,1,4404.5,4399.000681448757,274.9659275621525,2.58,12.5,259.8859275621525,0.9114369546964277,0.7106652134028707,2.6120901437322575,1,tp
2023-08-21 13:05:00+00:00,2023-08-21 13:30:00+00:00,SHORT,1,4393.0,4397.036999382955,-201.84996914777003,2.58,12.5,-216.92996914777004,0.6004842735108812,0.9005381527772205,4.036999382955034,4,sl
2023-08-21 13:10:00+00:00,2023-08-21 13:30:00+00:00,SHORT,1,4393.0,4396.929871111102,-196.49355555511647,2.58,12.5,-211.57355555511649,0.6703838235511459,0.8790163357271954,3.9298711111019657,3,sl
2023-08-21 13:15:00+00:00,2023-08-21 13:30:00+00:00,SHORT,1,4391.25,4396.223478415226,-248.67392076130272,2.58,12.5,-263.75392076130277,0.7913846606473972,0.8979843592640261,4.973478415225992,2,sl
2023-08-21 13:20:00+00:00,2023-08-21 13:30:00+00:00,SHORT,1,4393.25,4397.406470330071,-207.8235165035494,2.58,12.5,-222.9035165035494,0.566860000397257,0.7869885262691383,4.1564703300706825,1,sl
2023-08-21 14:50:00+00:00,2023-08-21 15:40:00+00:00,SHORT,1,4386.75,4376.557011342779,509.64943286103335,2.58,12.5,494.56943286103336,0.9048568702398173,0.5074231988399084,5.087053775688649,10,tp
2023-08-21 15:00:00+00:00,2023-08-21 15:15:00+00:00,SHORT,1,4388.5,4378.293605784766,510.3197107616779,2.58,12.5,495.23971076167794,0.8586745980550217,0.5435427870162614,5.048243460168504,3,tp
2023-08-21 15:05:00+00:00,2023-08-21 15:40:00+00:00,SHORT,1,4385.5,4375.172978845511,516.3510577244324,2.58,12.5,501.27105772443235,0.7273907297647833,0.7050291324321415,4.911747733131805,7,tp
2023-08-21 15:10:00+00:00,2023-08-22 09:05:00+00:00,SHORT,1,4381.5,4387.037816940862,-276.89084704311426,2.58,12.5,-291.97084704311425,0.5900931549527691,0.8667779506285374,5.537816940862659,10,sl
2023-08-21 15:15:00+00:00,2023-08-22 09:05:00+00:00,SHORT,1,4381.75,4386.897319066046,-257.36595330231467,2.58,12.5,-272.44595330231465,0.5491919721899475,0.6230825916754507,5.147319066046026,9,sl
2023-08-21 15:20:00+00:00,2023-08-22 09:05:00+00:00,SHORT,1,4379.5,4384.600826869762,-255.0413434881193,2.58,12.5,-270.1213434881193,0.5025794167409182,0.7908817678889777,5.100826869762637,8,sl
2023-08-21 15:25:00+00:00,2023-08-21 15:30:00+00:00,SHORT,1,4379.0,4383.971299009302,-248.56495046510645,2.58,12.5,-263.6449504651065,0.7424858595692225,0.7378345168363636,4.9712990093017195,1,sl
2023-08-21 15:55:00+00:00,2023-08-22 09:05:00+00:00,LONG,1,4375.5,4385.740394791661,512.0197395830473,2.58,12.5,496.93973958304736,0.5425209732823423,0.6977965434733845,4.878938121754669,1,tp
2023-08-22 11:05:00+00:00,2023-08-22 12:00:00+00:00,SHORT,1,4428.25,4430.794529885045,-127.22649425227246,2.58,12.5,-142.30649425227247,0.6641617772421786,0.7896330654391314,2.544529885045629,1,sl
2023-08-22 12:00:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4438.25,4435.698602012181,-127.56989939093728,2.58,12.5,-142.6498993909373,0.7493898612323492,0.8351220981245597,2.551397987819076,8,sl
2023-08-22 12:05:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4438.25,4435.109242523817,-157.03787380916765,2.58,12.5,-172.11787380916766,0.8112200244156355,0.8167089076769055,3.140757476183692,7,sl
2023-08-22 12:10:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4438.0,4435.106829093848,-144.65854530758406,2.58,12.5,-159.73854530758408,0.6957305464663306,0.8411384467578042,2.893170906151788,6,sl
2023-08-22 12:15:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4437.75,4435.139444232245,-130.5277883877352,2.58,12.5,-145.6077883877352,0.7358925089050388,0.8836942917547488,2.6105557677550646,5,sl
2023-08-22 12:20:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4437.25,4434.399408189791,-142.52959051045764,2.58,12.5,-157.60959051045765,0.7018028674072496,0.7678460584561051,2.8505918102095906,4,sl
2023-08-22 12:25:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4436.75,4434.004744812367,-137.262759381656,2.58,12.5,-152.342759381656,0.9377789613328472,0.8211615951669863,2.745255187632717,3,sl
2023-08-22 12:30:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4438.0,4435.178890292101,-141.0554853949634,2.58,12.5,-156.1354853949634,0.6849716461735531,0.8603085787123579,2.821109707899314,2,sl
2023-08-22 12:35:00+00:00,2023-08-22 12:40:00+00:00,LONG,1,4436.25,4433.4467254120555,-140.16372939722714,2.58,12.5,-155.24372939722716,0.6113996974822006,0.8218951538985585,2.8032745879441854,1,sl
2023-08-22 12:55:00+00:00,2023-08-22 14:20:00+00:00,SHORT,1,4430.75,4424.291704229176,322.91478854122033,2.58,12.5,307.83478854122035,0.5703786423219924,0.877704427882063,2.9505398901263944,7,tp
2023-08-22 13:05:00+00:00,2023-08-22 14:20:00+00:00,SHORT,1,4430.25,4423.318480355772,346.5759822113796,2.58,12.5,331.4959822113796,0.6111560161575761,0.890964558046201,3.157174034359452,5,tp
2023-08-22 13:10:00+00:00,2023-08-22 14:20:00+00:00,SHORT,1,4429.25,4422.271008527857,348.94957360716035,2.58,12.5,333.86957360716036,0.8315120688184652,0.948108101042918,3.1379594711320666,4,tp
2023-08-22 13:20:00+00:00,2023-08-22 14:20:00+00:00,SHORT,1,4430.0,4421.787582394773,410.62088026133097,2.58,12.5,395.540880261331,0.5924970731371083,0.8974045318547066,3.735120362812057,2,tp
2023-08-22 13:25:00+00:00,2023-08-22 14:20:00+00:00,SHORT,1,4431.0,4419.023683879797,598.8158060101341,2.58,12.5,583.7358060101341,0.8050281945514239,0.8218757744879451,5.542184340835756,1,tp
2023-08-22 15:30:00+00:00,2023-08-22 15:40:00+00:00,LONG,1,4414.0,4408.59946914523,-270.02654273851476,2.58,12.5,-285.10654273851475,0.8400803841652802,0.7481111782629195,5.400530854769998,1,sl
