,equity
1789,332480.0
1790,332525.0
1791,332557.5
1792,332565.0
1793,332660.0
1794,332717.5
1795,332700.0
1796,332695.0
1797,332690.0
1798,332760.0
1799,332867.5
1800,333237.5
1801,333170.0
1802,333365.0
1803,333510.0
1804,333467.5
1805,333512.5
1806,333720.0
1807,333765.0
1808,333897.5
1809,334030.0
1810,333762.5
1811,334007.5
1812,334127.5
1813,334247.5
1814,334230.0
1815,334337.5
1816,334707.5
1817,334715.0
1818,334860.0
1819,334942.5
1820,335000.0
1821,335445.0
1822,335765.0
1823,335722.5
1824,336080.0
1825,336225.0
1826,336370.0
1827,336440.0
1828,336472.5
1829,336530.0
1830,337050.0
1831,337382.5
1832,337902.5
1833,338397.5
1834,338592.5
1835,338725.0
1836,338920.0
1837,339152.5
1838,339335.0
1839,339555.0
1840,339912.5
1841,339895.0
1842,340890.0
1843,341472.5
1844,341805.0
1845,341925.0
1846,342207.5
1847,342915.0
1848,342885.0
1849,343142.5
1850,343387.5
1851,343670.0
1852,343902.5
1853,344597.5
1854,344930.0
1855,345412.5
1856,345757.5
1857,346365.0
1858,346722.5
1859,346855.0
1860,346987.5
1861,347157.5
1862,347165.0
1863,347360.0
1864,347517.5
1865,347950.0
1866,348395.0
1867,348377.5
1868,348435.0
1869,348492.5
1870,348550.0
1871,348570.0
1872,348652.5
