fold,entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,signal_prob,bet_size,bars_held
44,2024-08-12 16:25:00+00:00,2024-08-12 17:25:00+00:00,LONG,1,5379.5,5373.25,-312.5,5.0,12.5,-330.0,0.5767948658193925,0.568090116514567,12
44,2024-08-12 16:30:00+00:00,2024-08-12 17:30:00+00:00,LONG,1,5377.75,5377.0,-37.5,5.0,12.5,-55.0,0.5580160096802281,0.3542920284294832,12
44,2024-08-13 16:50:00+00:00,2024-08-13 17:50:00+00:00,LONG,1,5448.0,5444.5,-175.0,5.0,12.5,-192.5,0.5053155924752776,0.5977673827343004,12
45,2024-08-13 19:40:00+00:00,2024-08-14 14:10:00+00:00,LONG,1,5452.0,5449.5,-125.0,5.0,12.5,-142.5,0.5203574091457323,0.42789409845913007,12
45,2024-08-13 19:45:00+00:00,2024-08-14 14:15:00+00:00,LONG,1,5458.5,5453.0,-275.0,5.0,12.5,-292.5,0.5704026651127027,0.6636842910823488,12
45,2024-08-13 19:50:00+00:00,2024-08-14 14:20:00+00:00,LONG,2,5451.25,5457.0,575.0,10.0,25.0,540.0,0.5807351044244614,0.7874162061125721,12
45,2024-08-13 19:55:00+00:00,2024-08-14 14:25:00+00:00,LONG,1,5458.75,5456.5,-112.5,5.0,12.5,-130.0,0.5693961486856765,0.6200524627143137,12
45,2024-08-14 13:30:00+00:00,2024-08-14 14:30:00+00:00,LONG,1,5460.0,5440.0,-1000.0,5.0,12.5,-1017.5,0.5600363199925077,0.6424997544103653,12
45,2024-08-14 13:40:00+00:00,2024-08-14 14:40:00+00:00,LONG,2,5454.25,5449.75,-450.0,10.0,25.0,-485.0,0.6770923742851306,0.8490088736489934,12
45,2024-08-14 13:45:00+00:00,2024-08-14 14:45:00+00:00,LONG,2,5457.0,5456.5,-50.0,10.0,25.0,-85.0,0.7213938277446519,0.8702616428878754,12
45,2024-08-14 13:50:00+00:00,2024-08-14 14:50:00+00:00,LONG,2,5454.0,5459.0,500.0,10.0,25.0,465.0,0.657679312220049,0.7988400559417508,12
45,2024-08-14 19:05:00+00:00,2024-08-15 13:35:00+00:00,LONG,1,5477.25,5535.5,2912.5,5.0,12.5,2895.0,0.5182513123675406,0.33764526001576756,12
45,2024-08-14 19:10:00+00:00,2024-08-15 13:40:00+00:00,LONG,1,5467.75,5530.75,3150.0,5.0,12.5,3132.5,0.5369134893020167,0.5352137983595542,12
45,2024-08-14 19:15:00+00:00,2024-08-15 13:45:00+00:00,LONG,1,5469.5,5535.5,3300.0,5.0,12.5,3282.5,0.5360156944154842,0.30326009997718095,12
45,2024-08-16 17:20:00+00:00,2024-08-16 18:20:00+00:00,LONG,2,5582.75,5576.0,-675.0,10.0,25.0,-710.0,0.5161277051096906,0.6813987899171607,12
